NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS
10;1;1;02:06.5;0;;32.084;0;54.522;0;39.872;0;128.6;02:06.5;02:07.3;00:32.1;00:54.5;00:39.9;;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;SF;32.084;54.522;39.872
10;1;2;03:53.9;0;;01:09.8;0;01:29.3;0;01:14.9;0;71.7;06:00.4;06:01.2;01:09.8;01:29.3;01:14.9;123.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;RF;69.757;89.254;74.902
10;1;3;27:05.9;0;;25:12.1;0;01:09.0;0;44.812;0;10.3;33:06.3;33:07.1;25:12.1;01:09.0;00:44.8;;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;SF;1512.087;68.965;44.812
10;1;4;02:24.0;0;;50.15;0;53.64;0;40.227;0;116.4;35:30.3;35:31.1;00:50.1;00:53.6;00:40.2;147.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;50.15;53.64;40.227
10;1;5;01:36.1;0;;28.675;0;39.06;0;28.325;0;174.5;37:06.3;37:07.1;00:28.7;00:39.1;00:28.3;290.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;28.675;39.06;28.325
10;1;6;01:33.7;0;;27.459;0;38.131;0;28.094;0;179;38:40.0;38:40.8;00:27.5;00:38.1;00:28.1;291.1;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.459;38.131;28.094
10;1;7;01:33.5;0;;27.48;0;38.342;0;27.649;1;179.4;40:13.5;40:14.3;00:27.5;00:38.3;00:27.6;291.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.48;38.342;27.649
10;1;8;01:33.1;0;;27.286;0;37.596;0;28.256;0;180;41:46.6;41:47.4;00:27.3;00:37.6;00:28.3;291.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.286;37.596;28.256
10;1;9;01:32.5;0;;27.097;1;37.461;1;27.955;0;181.2;43:19.1;43:19.9;00:27.1;00:37.5;00:28.0;291.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.097;37.461;27.955
10;1;10;01:32.8;0;;27.199;0;37.48;0;28.144;0;180.6;44:52.0;44:52.8;00:27.2;00:37.5;00:28.1;291.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.199;37.48;28.144
10;1;11;01:35.0;0;;27.425;0;38.402;0;29.123;0;176.6;46:26.9;46:27.7;00:27.4;00:38.4;00:29.1;292.7;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.425;38.402;29.123
10;1;12;01:37.5;0;;27.753;0;39.618;0;30.079;0;172;48:04.4;48:05.2;00:27.8;00:39.6;00:30.1;290.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.753;39.618;30.079
10;1;13;01:35.3;0;;27.883;0;38.489;0;28.932;0;175.9;49:39.7;49:40.5;00:27.9;00:38.5;00:28.9;290.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.883;38.489;28.932
10;1;14;01:33.7;0;;27.325;0;37.736;0;28.639;0;178.9;51:13.4;51:14.2;00:27.3;00:37.7;00:28.6;290.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.325;37.736;28.639
10;1;15;01:33.1;0;;27.182;0;37.839;0;28.11;0;180;52:46.5;52:47.3;00:27.2;00:37.8;00:28.1;291.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.182;37.839;28.11
10;1;16;01:33.0;0;;27.274;0;37.688;0;27.996;0;180.4;54:19.5;54:20.3;00:27.3;00:37.7;00:28.0;291.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.274;37.688;27.996
10;1;17;01:34.3;0;;27.504;0;37.9;0;28.936;0;177.7;55:53.8;55:54.6;00:27.5;00:37.9;00:28.9;291.1;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.504;37.9;28.936
10;1;18;01:36.9;0;;27.518;0;39.8;0;29.535;0;173.1;57:30.6;57:31.4;00:27.5;00:39.8;00:29.5;291.1;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.518;39.8;29.535
10;1;19;01:34.6;0;;27.71;0;38.079;0;28.806;0;177.2;59:05.2;59:06.0;00:27.7;00:38.1;00:28.8;291.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.71;38.079;28.806
10;1;20;01:34.1;0;;27.516;0;38.086;0;28.521;0;178.1;00:39.4;00:40.2;00:27.5;00:38.1;00:28.5;290.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.516;38.086;28.521
10;1;21;01:34.8;0;;27.402;0;39.132;0;28.223;0;176.9;02:14.1;02:14.9;00:27.4;00:39.1;00:28.2;291.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.402;39.132;28.223
10;1;22;01:37.0;0;;27.796;0;38.935;0;30.237;0;172.9;03:51.1;03:51.9;00:27.8;00:38.9;00:30.2;292.7;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.796;38.935;30.237
10;1;23;01:34.6;0;;27.687;0;38.29;0;28.659;0;177.2;05:25.7;05:26.5;00:27.7;00:38.3;00:28.7;291.1;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.687;38.29;28.659
10;1;24;01:35.3;0;;27.69;0;38.904;0;28.728;0;175.9;07:01.0;07:01.8;00:27.7;00:38.9;00:28.7;292.7;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.69;38.904;28.728
10;1;25;01:33.9;0;;27.528;0;38.167;0;28.243;0;178.5;08:35.0;08:35.8;00:27.5;00:38.2;00:28.2;291.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.528;38.167;28.243
10;1;26;01:36.4;0;;28.12;0;39.069;0;29.249;0;173.8;10:11.4;10:12.2;00:28.1;00:39.1;00:29.2;290.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;28.12;39.069;29.249
10;1;27;01:40.0;0;B;27.784;0;38.364;0;33.9;0;167.6;11:51.5;11:52.3;00:27.8;00:38.4;00:33.9;291.1;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.784;38.364;33.9
10;1;28;02:28.3;0;;01:21.4;0;38.36;0;28.489;0;113.1;14:19.8;14:20.6;01:21.4;00:38.4;00:28.5;211.8;Ryan CULLEN;00:57.5;LMP2;;Vector Sport;Oreca;GF;81.441;38.36;28.489
10;1;29;01:35.0;0;;27.993;0;38.36;0;28.653;0;176.5;15:54.8;15:55.6;00:28.0;00:38.4;00:28.7;290.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.993;38.36;28.653
10;1;30;01:36.7;0;;27.989;0;39.401;0;29.334;0;173.3;17:31.5;17:32.3;00:28.0;00:39.4;00:29.3;291.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.989;39.401;29.334
10;1;31;01:37.3;0;;27.916;0;39.626;0;29.794;0;172.2;19:08.8;19:09.6;00:27.9;00:39.6;00:29.8;290.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.916;39.626;29.794
10;1;32;01:35.9;0;;28.077;0;38.738;0;29.099;0;174.8;20:44.7;20:45.5;00:28.1;00:38.7;00:29.1;291.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;28.077;38.738;29.099
10;1;33;01:38.6;0;;29.424;0;39.524;0;29.646;0;170;22:23.3;22:24.1;00:29.4;00:39.5;00:29.6;290.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;29.424;39.524;29.646
10;1;34;01:36.3;0;;28.305;0;39.018;0;28.958;0;174.1;23:59.6;24:00.4;00:28.3;00:39.0;00:29.0;290.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;28.305;39.018;28.958
10;1;35;01:37.4;0;;28.133;0;39.271;0;30.041;0;172;25:37.1;25:37.9;00:28.1;00:39.3;00:30.0;290.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;28.133;39.271;30.041
10;1;36;01:35.9;0;;28.31;0;38.717;0;28.856;0;174.9;27:12.9;27:13.7;00:28.3;00:38.7;00:28.9;290.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;28.31;38.717;28.856
10;1;37;01:36.4;0;;28.215;0;39.26;0;28.916;0;173.9;28:49.3;28:50.1;00:28.2;00:39.3;00:28.9;292.7;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;28.215;39.26;28.916
10;1;38;01:35.6;0;;27.961;0;38.679;0;28.937;0;175.4;30:24.9;30:25.7;00:28.0;00:38.7;00:28.9;290.3;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;27.961;38.679;28.937
10;1;39;01:37.7;0;;28.83;0;39.615;0;29.263;0;171.6;32:02.6;32:03.4;00:28.8;00:39.6;00:29.3;291.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;28.83;39.615;29.263
10;1;40;01:43.9;0;B;29.469;0;40.194;0;34.232;0;161.4;33:46.5;33:47.3;00:29.5;00:40.2;00:34.2;291.9;Ryan CULLEN;;LMP2;;Vector Sport;Oreca;GF;29.469;40.194;34.232
10;2;41;04:31.1;0;;02:14.6;0;01:19.6;0;56.934;0;61.8;38:17.6;38:18.4;02:14.6;01:19.6;00:56.9;;Vladislav LOMKO;01:19.7;LMP2;;Vector Sport;Oreca;GF;134.556;79.592;56.934
10;2;42;03:28.0;0;;01:13.1;0;01:19.5;0;55.447;0;80.6;41:45.6;41:46.4;01:13.1;01:19.5;00:55.4;;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;SF;73.09;79.469;55.447
10;2;43;02:07.6;0;;42.401;0;49.328;0;35.843;0;131.4;43:53.2;43:54.0;00:42.4;00:49.3;00:35.8;160.5;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;SF;42.401;49.328;35.843
10;2;44;02:57.5;0;;36.665;0;01:18.8;0;01:02.0;0;94.4;46:50.7;46:51.5;00:36.7;01:18.8;01:02.0;179.7;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;SF;36.665;78.83;62.039
10;2;45;02:57.6;0;;01:10.4;0;01:05.7;0;41.577;0;94.4;49:48.3;49:49.1;01:10.4;01:05.7;00:41.6;;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;SF;70.351;65.677;41.577
10;2;46;02:08.6;0;;39.615;0;51.388;0;37.553;0;130.4;51:56.9;51:57.7;00:39.6;00:51.4;00:37.6;176.5;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;39.615;51.388;37.553
10;2;47;01:37.3;0;;29.365;0;39.519;0;28.396;0;172.3;53:34.2;53:34.9;00:29.4;00:39.5;00:28.4;282.7;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;29.365;39.519;28.396
10;2;48;01:34.2;0;;27.859;0;38.495;0;27.858;0;178;55:08.4;55:09.2;00:27.9;00:38.5;00:27.9;289.5;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.859;38.495;27.858
10;2;49;01:32.7;0;;27.221;0;37.558;0;27.872;0;181;56:41.0;56:41.8;00:27.2;00:37.6;00:27.9;290.3;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.221;37.558;27.872
10;2;50;01:32.3;0;;27.182;0;37.388;0;27.726;0;181.6;58:13.3;58:14.1;00:27.2;00:37.4;00:27.7;289.5;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.182;37.388;27.726
10;2;51;01:31.8;2;;26.881;2;37.215;2;27.699;0;182.6;59:45.1;59:45.9;00:26.9;00:37.2;00:27.7;290.3;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;26.881;37.215;27.699
10;2;52;01:32.0;0;;26.889;0;37.465;0;27.631;2;182.3;01:17.1;01:17.9;00:26.9;00:37.5;00:27.6;291.9;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;26.889;37.465;27.631
10;2;53;01:32.3;0;;26.964;0;37.412;0;27.958;0;181.6;02:49.4;02:50.2;00:27.0;00:37.4;00:28.0;291.1;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;26.964;37.412;27.958
10;2;54;02:02.4;0;;27.293;0;39;0;56.076;0;137;04:51.8;04:52.6;00:27.3;00:39.0;00:56.1;291.1;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;FCY;27.293;39;56.076
10;2;55;02:34.7;0;;01:14.2;0;50.191;0;30.31;0;108.4;07:26.5;07:27.3;01:14.2;00:50.2;00:30.3;;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;74.212;50.191;30.31
10;2;56;01:36.1;0;;28.31;0;38.954;0;28.837;0;174.5;09:02.6;09:03.4;00:28.3;00:39.0;00:28.8;286.5;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;28.31;38.954;28.837
10;2;57;01:34.5;0;;28.221;0;38.105;0;28.125;0;177.5;10:37.1;10:37.9;00:28.2;00:38.1;00:28.1;291.1;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;28.221;38.105;28.125
10;2;58;01:35.3;0;;28.376;0;38.517;0;28.423;0;175.9;12:12.4;12:13.2;00:28.4;00:38.5;00:28.4;291.1;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;28.376;38.517;28.423
10;2;59;01:35.1;0;;28.146;0;38.591;0;28.346;0;176.3;13:47.5;13:48.3;00:28.1;00:38.6;00:28.3;291.9;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;28.146;38.591;28.346
10;2;60;01:34.0;0;;27.483;0;38.219;0;28.289;0;178.4;15:21.4;15:22.2;00:27.5;00:38.2;00:28.3;290.3;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.483;38.219;28.289
10;2;61;01:34.6;0;;28.179;0;38.067;0;28.392;0;177.2;16:56.1;16:56.9;00:28.2;00:38.1;00:28.4;291.1;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;28.179;38.067;28.392
10;2;62;01:37.3;0;;27.472;0;40.025;0;29.763;0;172.4;18:33.3;18:34.1;00:27.5;00:40.0;00:29.8;291.1;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.472;40.025;29.763
10;2;63;01:34.2;0;;27.606;0;37.956;0;28.633;0;178;20:07.5;20:08.3;00:27.6;00:38.0;00:28.6;289.5;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.606;37.956;28.633
10;2;64;01:35.2;0;;27.31;0;38.35;0;29.497;0;176.2;21:42.7;21:43.5;00:27.3;00:38.4;00:29.5;291.1;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.31;38.35;29.497
10;2;65;01:37.0;0;;29.056;0;39.078;0;28.862;0;172.8;23:19.7;23:20.5;00:29.1;00:39.1;00:28.9;291.9;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;29.056;39.078;28.862
10;2;66;01:34.9;0;;27.834;0;38.454;0;28.596;0;176.7;24:54.6;24:55.4;00:27.8;00:38.5;00:28.6;291.1;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.834;38.454;28.596
10;2;67;01:36.8;0;;27.937;0;39.451;0;29.379;0;173.3;26:31.3;26:32.1;00:27.9;00:39.5;00:29.4;289.5;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.937;39.451;29.379
10;2;68;01:35.5;0;;27.888;0;38.527;0;29.133;0;175.5;28:06.9;28:07.7;00:27.9;00:38.5;00:29.1;289.5;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.888;38.527;29.133
10;2;69;01:36.1;0;;27.86;0;38.631;0;29.638;0;174.4;29:43.0;29:43.8;00:27.9;00:38.6;00:29.6;287.2;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.86;38.631;29.638
10;2;70;01:36.2;0;;27.93;0;39.51;0;28.74;0;174.3;31:19.2;31:20.0;00:27.9;00:39.5;00:28.7;288.8;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.93;39.51;28.74
10;2;71;03:02.6;0;B;46.868;0;01:19.0;0;56.736;0;91.8;34:21.8;34:22.6;00:46.9;01:19.0;00:56.7;286.5;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;46.868;79.011;56.736
10;2;72;04:16.6;0;;02:00.7;0;01:19.3;0;56.585;0;65.3;38:38.4;38:39.2;02:00.7;01:19.3;00:56.6;;Vladislav LOMKO;01:06.2;LMP2;;Vector Sport;Oreca;GF;120.707;79.259;56.585
10;2;73;02:32.8;0;;55.873;0;44.654;0;52.224;0;109.8;41:11.1;41:11.9;00:55.9;00:44.7;00:52.2;;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;SF;55.873;44.654;52.224
10;2;74;03:22.1;0;;57.512;0;01:22.8;0;01:01.8;0;82.9;44:33.3;44:34.1;00:57.5;01:22.8;01:01.8;162.7;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;SF;57.512;82.842;61.793
10;2;75;02:52.4;0;;01:05.9;0;01:05.2;0;41.327;0;97.2;47:25.7;47:26.5;01:05.9;01:05.2;00:41.3;;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;SF;65.888;65.178;41.327
10;2;76;02:19.5;0;;41.854;0;50.769;0;46.851;0;120.2;49:45.1;49:45.9;00:41.9;00:50.8;00:46.9;165.1;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;41.854;50.769;46.851
10;2;77;01:36.8;0;;28.734;0;39.011;0;29.023;0;173.3;51:21.9;51:22.7;00:28.7;00:39.0;00:29.0;288;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;28.734;39.011;29.023
10;2;78;01:35.5;0;;28.404;0;38.575;0;28.526;0;175.5;52:57.4;52:58.2;00:28.4;00:38.6;00:28.5;282.7;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;28.404;38.575;28.526
10;2;79;01:35.6;0;;27.716;0;39.088;0;28.823;0;175.3;54:33.0;54:33.8;00:27.7;00:39.1;00:28.8;286.5;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.716;39.088;28.823
10;2;80;01:35.9;0;;28.204;0;38.868;0;28.839;0;174.8;56:08.9;56:09.7;00:28.2;00:38.9;00:28.8;289.5;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;28.204;38.868;28.839
10;2;81;01:35.6;0;;27.764;0;39.066;0;28.777;0;175.4;57:44.6;57:45.3;00:27.8;00:39.1;00:28.8;287.2;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.764;39.066;28.777
10;2;82;01:34.8;0;;27.656;0;38.526;0;28.632;0;176.8;59:19.4;59:20.2;00:27.7;00:38.5;00:28.6;287.2;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;27.656;38.526;28.632
10;2;83;01:40.4;0;B;28.371;0;38.618;0;33.362;0;167.1;00:59.7;01:00.5;00:28.4;00:38.6;00:33.4;286.5;Vladislav LOMKO;;LMP2;;Vector Sport;Oreca;GF;28.371;38.618;33.362
10;3;84;03:15.4;0;;01:40.3;0;42.038;0;53.033;0;85.8;04:15.1;04:15.9;01:40.3;00:42.0;00:53.0;199.3;Pietro FITTIPALDI;01:12.6;LMP2;;Vector Sport;Oreca;FCY;100.292;42.038;53.033
10;3;85;02:38.3;0;;01:13.4;0;54.559;0;30.262;0;105.9;06:53.3;06:54.1;01:13.4;00:54.6;00:30.3;;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;73.442;54.559;30.262
10;3;86;01:35.4;0;;28.927;0;38.192;0;28.299;0;175.7;08:28.8;08:29.6;00:28.9;00:38.2;00:28.3;287.2;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;28.927;38.192;28.299
10;3;87;01:34.2;0;;28.005;0;38.338;0;27.903;0;177.9;10:03.0;10:03.8;00:28.0;00:38.3;00:27.9;288;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;28.005;38.338;27.903
10;3;88;01:32.9;0;;27.349;0;37.709;1;27.857;0;180.4;11:35.9;11:36.7;00:27.3;00:37.7;00:27.9;287.2;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.349;37.709;27.857
10;3;89;01:33.5;0;;27.69;0;38.022;0;27.817;0;179.3;13:09.5;13:10.2;00:27.7;00:38.0;00:27.8;287.2;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.69;38.022;27.817
10;3;90;01:32.7;0;;27.231;0;37.746;0;27.749;1;180.8;14:42.2;14:43.0;00:27.2;00:37.7;00:27.7;288.8;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.231;37.746;27.749
10;3;91;01:35.0;0;;27.958;0;38.5;0;28.524;0;176.5;16:17.2;16:18.0;00:28.0;00:38.5;00:28.5;291.9;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.958;38.5;28.524
10;3;92;01:34.1;0;;27.659;0;38.415;0;28.016;0;178.2;17:51.2;17:52.0;00:27.7;00:38.4;00:28.0;288.8;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.659;38.415;28.016
10;3;93;01:34.6;0;;27.379;0;38.024;0;29.227;0;177.2;19:25.9;19:26.7;00:27.4;00:38.0;00:29.2;288.8;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.379;38.024;29.227
10;3;94;01:33.4;0;;27.334;0;37.886;0;28.198;0;179.5;20:59.3;21:00.1;00:27.3;00:37.9;00:28.2;288.8;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.334;37.886;28.198
10;3;95;02:41.6;0;;01:09.4;0;01:03.2;0;28.979;0;103.7;23:40.9;23:41.7;01:09.4;01:03.2;00:29.0;;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;69.437;63.217;28.979
10;3;96;01:34.0;0;;27.977;0;37.914;0;28.101;0;178.4;25:14.9;25:15.7;00:28.0;00:37.9;00:28.1;287.2;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.977;37.914;28.101
10;3;97;01:36.0;0;;28.203;0;39.444;0;28.368;0;174.6;26:50.9;26:51.7;00:28.2;00:39.4;00:28.4;289.5;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;28.203;39.444;28.368
10;3;98;01:34.7;0;;27.428;0;38.881;0;28.363;0;177.1;28:25.6;28:26.4;00:27.4;00:38.9;00:28.4;288.8;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.428;38.881;28.363
10;3;99;01:34.4;0;;27.555;0;38.054;0;28.773;0;177.6;30:00.0;30:00.8;00:27.6;00:38.1;00:28.8;289.5;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.555;38.054;28.773
10;3;100;01:34.0;0;;27.566;0;38.371;0;28.082;0;178.3;31:34.0;31:34.8;00:27.6;00:38.4;00:28.1;290.3;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.566;38.371;28.082
10;3;101;01:34.1;0;;27.262;0;38.655;0;28.135;0;178.3;33:08.1;33:08.9;00:27.3;00:38.7;00:28.1;288;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.262;38.655;28.135
10;3;102;01:33.4;0;;27.231;0;38.001;0;28.186;0;179.5;34:41.5;34:42.3;00:27.2;00:38.0;00:28.2;287.2;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.231;38.001;28.186
10;3;103;01:33.2;0;;27.258;0;37.934;0;28.05;0;179.8;36:14.7;36:15.5;00:27.3;00:37.9;00:28.0;288.8;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.258;37.934;28.05
10;3;104;01:34.0;0;;27.518;0;38.292;0;28.151;0;178.4;37:48.7;37:49.5;00:27.5;00:38.3;00:28.2;289.5;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.518;38.292;28.151
10;3;105;01:33.3;0;;27.359;0;37.907;0;28.066;0;179.6;39:22.0;39:22.8;00:27.4;00:37.9;00:28.1;288.8;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.359;37.907;28.066
10;3;106;01:33.4;0;;27.296;0;37.964;0;28.122;0;179.5;40:55.4;40:56.2;00:27.3;00:38.0;00:28.1;288.8;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.296;37.964;28.122
10;3;107;01:35.2;0;;28.35;0;38.682;0;28.136;0;176.2;42:30.6;42:31.4;00:28.4;00:38.7;00:28.1;289.5;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;28.35;38.682;28.136
10;3;108;01:34.6;0;;27.769;0;38.645;0;28.205;0;177.2;44:05.2;44:06.0;00:27.8;00:38.6;00:28.2;288.8;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.769;38.645;28.205
10;3;109;01:34.8;0;;28.482;0;37.896;0;28.47;0;176.8;45:40.0;45:40.8;00:28.5;00:37.9;00:28.5;287.2;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;28.482;37.896;28.47
10;3;110;01:34.4;0;;27.54;0;38.671;0;28.206;0;177.6;47:14.4;47:15.2;00:27.5;00:38.7;00:28.2;287.2;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.54;38.671;28.206
10;3;111;01:34.7;0;;27.245;0;38.153;0;29.346;0;177;48:49.2;48:50.0;00:27.2;00:38.2;00:29.3;288.8;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.245;38.153;29.346
10;3;112;01:40.1;0;B;27.552;0;38.416;0;34.097;0;167.5;50:29.3;50:30.1;00:27.6;00:38.4;00:34.1;285.7;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.552;38.416;34.097
10;3;113;02:54.2;0;;01:45.3;0;39.99;0;28.917;0;96.2;53:23.4;53:24.2;01:45.3;00:40.0;00:28.9;203.8;Pietro FITTIPALDI;01:18.1;LMP2;;Vector Sport;Oreca;GF;105.277;39.99;28.917
10;3;114;01:33.9;0;;27.846;0;37.977;0;28.061;0;178.6;54:57.3;54:58.1;00:27.8;00:38.0;00:28.1;285.7;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.846;37.977;28.061
10;3;115;01:33.5;0;;27.563;0;38.024;0;27.947;0;179.2;56:30.9;56:31.7;00:27.6;00:38.0;00:27.9;287.2;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.563;38.024;27.947
10;3;116;01:33.1;0;;27.175;0;37.834;0;28.076;0;180.1;58:03.9;58:04.7;00:27.2;00:37.8;00:28.1;287.2;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.175;37.834;28.076
10;3;117;01:36.0;0;;27.428;0;38.276;0;30.304;0;174.6;59:40.0;59:40.7;00:27.4;00:38.3;00:30.3;287.2;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;27.428;38.276;30.304
10;3;118;01:35.0;0;;28.01;0;38.474;0;28.491;0;176.5;01:14.9;01:15.7;00:28.0;00:38.5;00:28.5;288.8;Pietro FITTIPALDI;;LMP2;;Vector Sport;Oreca;GF;28.01;38.474;28.491
